年份	中国	美国
GDP(美元)	占世界%	GDP(美元)	占世界%
1984	2599.47亿 (259,946,510,957)	2.1342%	4.04万亿 (4,037,613,000,000)	33.1498%
1983	2306.87亿 (230,686,747,153)	1.9638%	3.63万亿 (3,634,038,000,000)	30.9358%
1982	2050.9亿 (205,089,699,858)	1.7811%	3.34万亿 (3,343,789,000,000)	29.0399%
1981	1958.66亿 (195,866,382,432)	1.6850%	3.21万亿 (3,207,042,000,000)	27.5903%
1980	1911.49亿 (191,149,211,575)	1.7025%	2.86万亿 (2,857,307,000,000)	25.4491%
1979	1782.81亿 (178,280,594,413)	1.7880%	2.63万亿 (2,627,334,000,000)	26.3494%
1978	1495.41亿 (149,540,752,829)	1.7420%	2.35万亿 (2,351,599,000,000)	27.3936%
1977	1749.38亿 (174,938,098,826)	2.4038%	2.08万亿 (2,081,826,000,000)	28.6066%
1976	1539.4亿 (153,940,455,341)	2.3911%	1.87万亿 (1,873,412,000,000)	29.0989%
1975	1634.32亿 (163,431,551,779)	2.7606%	1.68万亿 (1,684,904,000,000)	28.4602%
1974	1441.82亿 (144,182,133,387)	2.7123%	1.55万亿 (1,545,243,000,000)	29.0686%
1973	1385.44亿 (138,544,284,708)	3.0059%	1.43万亿 (1,425,376,000,000)	30.9253%
1972	1136.88亿 (113,687,586,299)	3.0096%	1.28万亿 (1,279,110,000,000)	33.8610%
1971	998.01亿 (99,800,958,648)	3.0490%	1.16万亿 (1,164,850,000,000)	35.5865%
1970	926.03亿 (92,602,973,434)	3.1276%	1.07万亿 (1,073,303,000,000)	36.2497%
1969	797.06亿 (79,705,906,247)	2.9470%	1.02万亿 (1,019,900,000,000)	37.7094%
1968	708.47亿 (70,846,535,055)	2.8900%	9425.0亿 (942,500,000,000)	38.4469%
1967	728.82亿 (72,881,631,326)	3.2093%	8617.0亿 (861,700,000,000)	37.9447%
1966	767.2亿 (76,720,285,969)	3.5963%	8150.0亿 (815,000,000,000)	38.2032%
1965	704.36亿 (70,436,266,146)	3.5822%	7437.0亿 (743,700,000,000)	37.8230%
1964	597.08亿 (59,708,343,488)	3.3067%	6858.0亿 (685,800,000,000)	37.9805%
1963	507.07亿 (50,706,799,902)	3.0763%	6386.0亿 (638,600,000,000)	38.7431%
1962	472.09亿 (47,209,359,005)	3.0855%	6051.0亿 (605,100,000,000)	39.5475%
1961	500.57亿 (50,056,868,957)	3.5125%	5633.0亿 (563,300,000,000)	39.5269%
1960	597.16亿 (59,716,467,625)	4.3607%	5433.0亿 (543,300,000,000)	39.6733%
